TYPE,SCHOOL,PHONE,ADDRESS
High,MEDIA COLLEGE PREP,(510) 879-1597,"4610 Foothill Blvd
Oakland, CA
(37.77366814806908, -122.20956950172047)"
Elementary,LAZEAR ELEMENTARY,(510) 879-1320,"824 29th Ave
Oakland, CA
(37.775655649753844, -122.23254717956905)"
Elementary,MANZANITA COMMUNITY SCHOOL,(510) 879-1370,"2409 E 27th St.
Oakland, CA
(37.792392032719135, -122.22428241011983)"
Charter,CONSERVATORY OF INSTRUMENTAL AND VOCAL ARTS (COVA),(510) 285-7511,"3800 Mountain Blvd.
Oakland, CA
(37.798858158109795, -122.18487411879585)"
Charter,NORTH OAKLAND COMMUNITY CHARTER SCHOOL (K-5),(510) 655-0540,"1000 42nd St.
Oakland, CA
(37.83292447657965, -122.27690174205412)"
Elementary,RISE COMMUNITY SCHOOL,(510) 879-2553,"8521 A St
Oakland, CA
(37.75209341258619, -122.17869577645456)"
Elementary,BELLA VISTA ELEMENTARY,(510) 879-1020,"1025 E 28th St
Oakland, CA
(37.800360025898726, -122.2371337219185)"
Elementary,WEBSTER ACADEMY,(510) 879-1620,"8000 Birch St
Oakland, CA
(37.75904323674949, -122.17448304032324)"
Middle,CLAREMONT MIDDLE SCHOOL,(510) 879-2010,"5750 College Ave
Oakland, CA
(37.845541074854, -122.2518146359603)"
Charter,ACHIEVE ACADEMY (EFC-UE),(510) 904-6440,"1700 28th Avenue
Oakland, CA
(37.78247251073594, -122.22733111179912)"
Charter,LIGHTHOUSE COMMUNITY CHARTER HIGH SCHOOL (9-10),(510) 271-8801,"1600 Broadway
Oakland, CA
(37.80615165976741, -122.2700129353097)"
Charter,CIVICORPS ELEMENTARY SCHOOL (Formerly EBCC),(510) 420-3701,"1086 Alcatraz Ave
Oakland, CA
(37.847151751083175, -122.28358370473183)"
Elementary,MONTCLAIR ELEMENTARY,(510) 879-1430,"1757 Mountain Blvd
Oakland, CA
(37.83109389000689, -122.21279852321832)"
Elementary,ACORN WOODLAND ELEMENTARY,(510) 879-0190,"1025 81st Ave
Oakland, CA
(37.75289499838667, -122.18597939955752)"
Elementary,LINCOLN ELEMENTARY,(510) 879-1330,"225 11th St
Oakland, CA
(37.80009066808029, -122.26713918191615)"
Elementary,ENCOMPASS ACADEMY,(510) 879-0207,"1025 81st Ave
Oakland, CA
(37.75289499838667, -122.18597939955752)"
Charter,EFC UPPER ELEMENTARY (4-5),(510) 904-6440,"1700 28th Ave
Oakland, CA
(37.78247251073594, -122.22733111179912)"
High,OAKLAND TECHNICAL HIGH SCHOOL,(510) 879-3050,"4351 Broadway
Oakland, CA
(37.8321510596345, -122.25384312522289)"
Middle,MONTERA MIDDLE SCHOOL,(510) 879-2110,"5555 Ascot Dr
Oakland, CA
(37.81918873482104, -122.201246290758)"
Charter,OAKLAND CHARTER HIGH (OCH),(510) 532-6751,"171 12th Street
Oakland, CA
(37.80029707335666, -122.26538142685882)"
Charter,KIPP BRIDGE COLLEGE PREPARATORY,(510) 879-2421,"991 14th Street
Oakland, CA
(37.808779549965635, -122.28277441862707)"
Elementary,MARSHALL ELEMENTARY,(510) 879-1740,"3400 Malcolm Ave
Oakland, CA
(37.746805399053926, -122.14093324444428)"
Elementary,HOOVER ELEMENTARY,(510) 879-1700,"890 Brockhurst St
Oakland, CA
(37.82293300883413, -122.27432968105035)"
High,LIFE ACADEMY,(510) 534-0282,"2101 35th Avenue
Oakland, CA
(37.78428240413182, -122.21675221996806)"
High,BEST AT MCCLYMONDS,(510) 879-3030,"2607 Myrtle St
Oakland, CA
(37.81785972884312, -122.27863444234512)"
High,LEADERSHIP PREPARATORY HIGH SCHOOL,(510) 879-3010x457,"8610 MacArthur Blvd
Oakland, CA
(37.75920146137883, -122.1625988284471)"
Elementary,SANKOFA ACADEMY,(510) 879-1610,"581 61st St
Oakland, CA
(37.847124988302056, -122.26442073897785)"
Middle,MELROSE LEADERSHIP ACADEMY,(510) 879-1530,"5328 BRANN STREET
Oakland, CA
(37.77810180567354, -122.18983837639763)"
Charter,OAKLAND CHARTER ACADEMY (6-8),(510) 532-6751,"3001 International Blvd
Oakland, CA
(37.77859643278964, -122.22795164399935)"
Elementary,JOAQUIN MILLER ELEMENTARY,(510) 879-1420,"5525 Ascot Dr
Oakland, CA
(37.818736997446806, -122.20159298934739)"
Elementary,MAXWELL PARK ELEMENTARY,(510) 879-1390,"4730 Fleming Ave
Oakland, CA
(37.780399390561655, -122.19795880823293)"
Charter,OASIS HIGH SCHOOL (9-12),(510) 251-8103,"285 17th St. Suite 100
Oakland, CA
(37.805171398755476, -122.26576813533143)"
High,COMMUNITY DAY HS,(510) 879-8450,"4917 Mountain Blvd
Oakland, CA
(37.78812634700572, -122.177762231708)"
Charter,ARISE HIGH SCHOOL,(510) 436-5487,"3301 E. 12th Street, Suite 205
Oakland, CA
(37.77616826331058, -122.22498388130265)"
Middle,ELMHURST COMMUNITY PREP,(510) 879-2021,"1800 98th Ave
Oakland, CA
(37.74664352108863, -122.165601647708)"
Elementary,ESPERANZA ACADEMY,(510) 879-1551,"10315 E St.
Oakland, CA
(37.73751689383553, -122.17356959719105)"
Charter,MONARCH ACADEMY (K-5),(510) 568-3101,"1445 101st Ave
Oakland, CA
(37.742298273433406, -122.16832291981618)"
Middle,EDNA M BREWER MIDDLE SCHOOL,(510) 879-2100,"3748 13th Ave
Oakland, CA
(37.80377744961004, -122.22957042365209)"
High,STREET ACADEMY,(510) 879-3130,"417 29th St
Oakland, CA
(37.81781586648742, -122.26548035228205)"
Elementary,ALLENDALE ELEMENTARY,(510) 879-1010,"3670 Penniman Ave
Oakland, CA
(37.78852423784294, -122.20504442258516)"
Elementary,EMERSON ELEMENTARY,(510) 879-1150,"4803 Lawton Ave
Oakland, CA
(37.83461087121487, -122.25725458828849)"
Charter,AMERICAN INDIAN PUBLIC HIGH SCHOOL (9-10),(510) 482-6000,"3626-3628 35th Ave
Oakland, CA
(37.80505999961946, -122.27301999967312)"
High,"YES, YOUTH EMPOWERMENT SCHOOL",(510) 879-8877,"8251 Fontaine St
Oakland, CA
(37.76731893454223, -122.15385650200534)"
Elementary,FRUITVALE ELEMENTARY,(510) 879-1170,"3200 Boston Ave
Oakland, CA
(37.79633879544261, -122.21399075034017)"
Elementary,LA ESCUELITA ELEMENTARY,(510) 879-1210,"1100 3rd Ave
Oakland, CA
(37.79595334795516, -122.25721558283277)"
Elementary,CROCKER HIGHLANDS ELEMENTARY,(510) 879-1110,"525 Midcrest Rd
Oakland, CA
(37.81161054448529, -122.22790667789786)"
Elementary,HOWARD ELEMENTARY,(510) 879-1660,"8755 Fontaine St
Oakland, CA
(37.76227518383822, -122.15141137476625)"
Charter,BAY AREA TECHNOLOGY SCHOOL (6-8),(510) 645-9932,"4521 Webster St.
Oakland, CA
(37.833409875283486, -122.26014321085482)"
High,SOJOURNER TRUTH INDEPENDENT STUDY,(510) 879-2980,"9736 Lawlor St.
Oakland, CA
(37.75157108624378, -122.15740012798454)"
High,DEWEY ACADEMY,(510) 879-3100,"1111 2nd Avenue
Oakland, CA
(37.796687766815666, -122.25822029824776)"
Elementary,EAST OAKLAND PRIDE, ,"8000 BIRCH STREET
Oakland, CA
(37.75904323674949, -122.17448304032324)"
Charter,MILLSMONT ACADEMY,(510) 638-9445,"3200 62nd Ave
Oakland, CA
(37.77429279567527, -122.18232956739206)"
High,MET WEST,(510) 879-0235,"314 E 10th St
Oakland, CA
(37.795135602963846, -122.25816347191355)"
High,ROBESON SCHOOL OF VISUAL & PERFORMING ARTS,(510) 879-1237,"4610 Foothill Blvd
Oakland, CA
(37.77366814806908, -122.20956950172047)"
Elementary,THORNHILL ELEMENTARY,(510) 879-1570,"5880 Thornhill Dr
Oakland, CA
(37.836225485286015, -122.21148896911092)"
Elementary,JEFFERSON ELEMENTARY,(510) 879-1280,"2035 40th Ave
Oakland, CA
(37.779321147555244, -122.21320399704418)"
Charter,AMERICAN INDIAN PUBLIC CHARTER SCHOOL II, ,"171 12th Street
Oakland, CA
(37.80029707335666, -122.26538142685882)"
Elementary,REACH ACADEMY,(510) 879-1100,"9860 Sunnyside St.
Oakland, CA
(37.74654093736402, -122.16182411545786)"
Elementary,TILDEN ELEMENTARY,(510) 879-1560,"4551 Steele St
Oakland, CA
(37.787317488545625, -122.1877853472302)"
